from,to,weight
294,143,5
1024,143,5
15,83,5
515,1385,5
1025,32,5
2,16,5
1026,931,5
345,273,5
21,42,5
1027,1386,5
41,334,5
1028,1387,5
74,278,5
1029,379,5
321,131,5
0,867,5
232,0,5
41,76,5
1030,1388,5
1031,0,5
1032,6,5
1033,22,5
1034,206,5
1035,14,5
0,1389,5
41,1130,5
1036,186,5
679,21,5
1037,701,5
1038,937,5
1039,1390,5
321,1391,5
321,132,5
1040,1392,5
41,455,5
39,93,5
655,1393,5
4,1394,5
603,257,5
4,464,5
656,1395,5
656,0,5
1041,447,5
39,1147,5
1042,1396,5
609,0,5
0,1397,5
1043,0,5
260,696,5
260,761,5
0,285,5
41,143,5
260,26,5
0,283,5
1044,760,5
1045,368,5
1046,909,5
49,275,5
0,1398,5
51,1108,5
498,1,5
21,273,5
257,948,5
101,1399,5
1047,315,5
0,1400,5
101,1401,5
394,0,5
51,1402,5
1048,160,5
21,492,5
306,1403,5
671,1404,5
627,62,5
1049,629,5
1050,0,5
52,1405,5
1051,1406,5
237,803,5
101,1407,5
1052,1408,5
0,642,5
1053,983,5
1044,777,5
501,1409,5
501,1410,5
607,475,5
607,94,5
4,62,5
21,141,5
4,75,5
0,333,5
1054,0,5
1055,851,5
101,1411,5
1056,0,5
1057,859,5
1058,1293,5
149,1412,5
